epoch,val_auc
0,0.476475820003094
20,0.5150871736507955
40,0.5230735421487479
60,0.5392558764902939
80,0.522045541390369
0,0.5217442853487383
10,0.5186635838600395
20,0.5173514638588855
30,0.4990082705539561
40,0.4999096698206628
50,0.5098954869008213
60,0.5091675771027956
70,0.5024990414395676
80,0.4985347531452316
0,0.4702399101050046
10,0.49500650353955283
20,0.49968868567724817
30,0.5043049038850408
40,0.5183932958793408
50,0.5038796799944261
0,0.5036594907431964
10,0.5102693587468343
0,0.4989688976769845
10,0.4989949393135869
0,0.5654716598852492
10,0.9962468387882104
0,0.49939739226776486
10,0.4996933803194019
0,0.49783964321700486
10,0.49836379827757094
0,0.49843998047408816
10,0.5155312346459607
20,0.641211534258356
0,0.5010753095255739
10,0.5051122485620098
20,0.6227370069549418
30,0.6728771632799436
40,0.6894369048304713
50,0.7695973699733534
60,0.7966770402527312
70,0.8076603467999408
80,0.8182690387156174
90,0.8284780493965732
