user_id,comment_id,timestamp
user_3674,4,2026-03-11 10:15:00
user_4329,4,2026-03-11 10:15:00
user_174,4,2026-03-11 10:15:00
user_3016,4,2026-03-11 10:15:00
user_728,4,2026-03-11 10:15:00
user_3681,4,2026-03-11 10:15:00
user_626,4,2026-03-11 10:15:00
user_3723,4,2026-03-11 10:15:00
user_4906,4,2026-03-11 10:15:00
user_4379,5,2026-03-10 00:45:00
user_659,5,2026-03-10 00:45:00
user_1087,5,2026-03-10 00:45:00
user_3955,5,2026-03-10 00:45:00
user_2186,5,2026-03-10 00:45:00
user_1233,5,2026-03-10 00:45:00
user_107,11,2026-03-16 00:45:00
user_3412,11,2026-03-16 00:45:00
user_2922,11,2026-03-16 00:45:00
user_2038,11,2026-03-16 00:45:00
user_674,11,2026-03-16 00:45:00
user_3057,11,2026-03-16 00:45:00
user_1000,11,2026-03-16 00:45:00
user_1781,11,2026-03-16 00:45:00
user_317,11,2026-03-16 00:45:00
user_786,17,2026-03-08 19:45:00
user_414,17,2026-03-08 19:45:00
user_2452,17,2026-03-08 19:45:00
user_6,17,2026-03-08 19:45:00
user_2092,17,2026-03-08 19:45:00
user_3074,17,2026-03-08 19:45:00
user_3146,17,2026-03-08 19:45:00
user_4877,2,2026-03-17 15:45:00
user_2779,2,2026-03-17 15:45:00
user_2186,2,2026-03-17 15:45:00
user_1603,8,2026-03-19 12:45:00
user_959,8,2026-03-19 12:45:00
user_999,8,2026-03-19 12:45:00
user_4926,8,2026-03-19 12:45:00
user_2260,13,2026-03-23 00:45:00
user_3350,13,2026-03-23 00:45:00
user_425,13,2026-03-23 00:45:00
user_629,13,2026-03-23 00:45:00
user_2677,21,2026-03-23 06:45:00
user_2479,21,2026-03-23 06:45:00
user_1613,21,2026-03-23 06:45:00
user_1217,21,2026-03-23 06:45:00
user_3759,21,2026-03-23 06:45:00
user_1874,21,2026-03-23 06:45:00
user_4264,21,2026-03-23 06:45:00
user_55,21,2026-03-23 06:45:00
user_643,6,2026-03-11 22:45:00
user_2213,6,2026-03-11 22:45:00
user_2550,6,2026-03-11 22:45:00
user_2012,6,2026-03-11 22:45:00
user_4622,9,2026-03-17 04:45:00
user_1423,9,2026-03-17 04:45:00
user_657,9,2026-03-17 04:45:00
user_463,9,2026-03-17 04:45:00
user_70,16,2026-03-16 19:45:00
user_338,16,2026-03-16 19:45:00
user_4873,16,2026-03-16 19:45:00
user_333,16,2026-03-16 19:45:00
user_637,16,2026-03-16 19:45:00
user_1660,16,2026-03-16 19:45:00
user_2325,16,2026-03-16 19:45:00
user_55,19,2026-03-16 19:45:00
user_2898,19,2026-03-16 19:45:00
user_4527,19,2026-03-16 19:45:00
user_1173,19,2026-03-16 19:45:00
user_3025,19,2026-03-16 19:45:00
user_2449,19,2026-03-16 19:45:00
user_4636,24,2026-03-12 19:45:00
user_160,24,2026-03-12 19:45:00
user_186,24,2026-03-12 19:45:00
user_987,24,2026-03-12 19:45:00
user_2707,24,2026-03-12 19:45:00
user_3340,24,2026-03-12 19:45:00
user_3892,24,2026-03-12 19:45:00
user_2583,24,2026-03-12 19:45:00
user_2928,1,2026-03-30 02:15:00
user_4262,1,2026-03-30 02:15:00
user_3976,1,2026-03-30 02:15:00
user_4802,1,2026-03-30 02:15:00
user_1629,1,2026-03-30 02:15:00
user_3511,12,2026-03-25 20:15:00
user_4568,12,2026-03-25 20:15:00
user_314,18,2026-03-26 05:15:00
user_2102,25,2026-03-27 19:15:00
user_292,25,2026-03-27 19:15:00
user_2833,25,2026-03-27 19:15:00
user_1265,25,2026-03-27 19:15:00
user_1372,3,2026-03-17 10:30:00
user_4495,3,2026-03-17 10:30:00
user_1251,3,2026-03-17 10:30:00
user_2791,3,2026-03-17 10:30:00
user_231,3,2026-03-17 10:30:00
user_4127,10,2026-03-22 16:30:00
user_965,10,2026-03-22 16:30:00
user_3416,10,2026-03-22 16:30:00
user_2213,15,2026-03-22 09:30:00
user_2968,15,2026-03-22 09:30:00
user_2449,15,2026-03-22 09:30:00
user_49,15,2026-03-22 09:30:00
